n,degree,p,t_count,t_count_std,gates_logical,gates_1d,gates_2d,swaps_1d,swaps_2d,magic_frac_logical,magic_frac_1d,magic_frac_2d
64,3,1,12800.0,0.0,19456.0,25608.4,20728.0,2050.8,424.0,0.6578947368421053,0.4998469815052756,0.6175251991896809
64,3,2,26880.0,0.0,40768.0,53072.8,43312.0,4101.6,848.0,0.6593406593406593,0.5064844985160214,0.6206159933221733
64,3,3,40320.0,0.0,61120.0,79577.2,64936.0,6152.4,1272.0,0.6596858638743456,0.5066881770425129,0.6209218312127318
128,3,1,29440.0,0.0,44672.0,69480.8,48579.2,8269.6,1302.4,0.6590257879656161,0.4237565367417986,0.606021908789806
128,3,2,61440.0,0.0,93056.0,142673.6,100870.4,16539.2,2604.8,0.6602475928473177,0.43067411379657033,0.6090995497850764
128,3,3,92160.0,0.0,139520.0,213946.4,151241.6,24808.8,3907.2,0.6605504587155964,0.43080297028828696,0.6093572997524939
256,3,1,66560.0,0.0,100864.0,197705.2,111884.8,32280.4,3673.6,0.6598984771573604,0.3366870772603655,0.5949002443196564
256,3,2,138240.0,0.0,209152.0,402834.4,231193.6,64560.8,7347.2,0.6609547123623011,0.34319208548108787,0.5979429086614739
256,3,3,207360.0,0.0,313600.0,604123.6,346662.4,96841.2,11020.8,0.6612244897959184,0.34326481010573173,0.5981636921344771
